Sequencer Count,Start_Time(in sec),End_Time(in sec),Execution Time(in msec),Jitter(in msec)
1649,1566078439.207716,1566078439.207788,0.072479,-0.099999
1650,1566078439.307714,1566078439.307796,0.081301,-0.099998
1651,1566078439.407714,1566078439.407787,0.073433,-0.099999
1652,1566078439.507715,1566078439.507783,0.067711,-0.100001
1653,1566078439.607714,1566078439.607787,0.073433,-0.099999
1654,1566078439.707715,1566078439.707790,0.074863,-0.100001
1655,1566078439.807711,1566078439.807779,0.067949,-0.099996
1656,1566078439.907716,1566078439.907787,0.071049,-0.100004
1657,1566078440.007714,1566078440.007783,0.069380,-0.099998
1658,1566078440.107714,1566078440.107777,0.063658,-0.100000
1659,1566078440.207726,1566078440.207796,0.070572,-0.100012
1660,1566078440.307714,1566078440.307791,0.076294,-0.099989
1661,1566078440.407713,1566078440.407784,0.071287,-0.099998
1662,1566078440.507714,1566078440.507786,0.071287,-0.100002
1663,1566078440.607717,1566078440.607801,0.084162,-0.100003
1664,1566078440.707711,1566078440.707777,0.066042,-0.099993
1665,1566078440.807715,1566078440.807785,0.069380,-0.100005
1666,1566078440.907713,1566078440.907784,0.070333,-0.099998
1667,1566078441.007716,1566078441.007795,0.079632,-0.100003
1668,1566078441.107716,1566078441.107784,0.068188,-0.100000
1669,1566078441.207712,1566078441.207785,0.073433,-0.099996
1670,1566078441.307713,1566078441.307784,0.071049,-0.100001
1671,1566078441.407715,1566078441.407784,0.069141,-0.100002
1672,1566078441.507719,1566078441.507801,0.082016,-0.100004
1673,1566078441.607720,1566078441.607795,0.074863,-0.100001
1674,1566078441.707714,1566078441.707784,0.070333,-0.099994
1675,1566078441.807715,1566078441.807783,0.067711,-0.100001
1676,1566078441.907714,1566078441.907795,0.080824,-0.099999
1677,1566078442.007714,1566078442.007794,0.080109,-0.100000
1678,1566078442.107717,1566078442.107792,0.074625,-0.100003
1679,1566078442.207711,1566078442.207774,0.062943,-0.099994
1680,1566078442.307718,1566078442.307786,0.067711,-0.100006
1681,1566078442.407716,1566078442.407795,0.078917,-0.099998
1682,1566078442.507711,1566078442.507780,0.068903,-0.099995
1683,1566078442.607712,1566078442.607780,0.067949,-0.100001
1684,1566078442.707712,1566078442.707783,0.071526,-0.100000
1685,1566078442.807715,1566078442.807789,0.073433,-0.100003
1686,1566078442.907716,1566078442.907784,0.068903,-0.100000
1687,1566078443.007714,1566078443.007787,0.072479,-0.099998
1688,1566078443.107713,1566078443.107786,0.073195,-0.099998
1689,1566078443.207713,1566078443.207783,0.069857,-0.100000
1690,1566078443.307713,1566078443.307788,0.075102,-0.100000
