S1 Count,Start_Time(in sec),End_Time(in sec),Image_Capture_Time(in msec),Jitter(in msec)
421,1566078316.407844,1566078316.422737,14.892817,-0.100005
422,1566078316.507832,1566078316.522749,14.917374,-0.099988
423,1566078316.607818,1566078316.622591,14.772415,-0.099987
424,1566078316.707870,1566078316.722652,14.781713,-0.100052
425,1566078316.807832,1566078316.822722,14.890194,-0.099962
426,1566078316.907840,1566078316.922751,14.911413,-0.100008
427,1566078317.007828,1566078317.022715,14.886856,-0.099988
428,1566078317.107828,1566078317.122836,15.008211,-0.100000
429,1566078317.207826,1566078317.222723,14.896631,-0.099998
430,1566078317.307831,1566078317.322726,14.895439,-0.100005
431,1566078317.407888,1566078317.422852,14.964342,-0.100057
432,1566078317.507828,1566078317.522691,14.863014,-0.099941
433,1566078317.607816,1566078317.622641,14.825344,-0.099988
434,1566078317.707836,1566078317.722767,14.930964,-0.100020
435,1566078317.807830,1566078317.822736,14.906406,-0.099993
436,1566078317.907830,1566078317.922787,14.956951,-0.100000
437,1566078318.007824,1566078318.022683,14.858246,-0.099994
438,1566078318.107831,1566078318.122680,14.848948,-0.100007
439,1566078318.207824,1566078318.222772,14.948368,-0.099993
440,1566078318.307835,1566078318.322683,14.848709,-0.100011
441,1566078318.407849,1566078318.422740,14.890671,-0.100014
442,1566078318.507828,1566078318.522752,14.924049,-0.099979
443,1566078318.607840,1566078318.622693,14.853001,-0.100012
444,1566078318.707824,1566078318.722715,14.890909,-0.099985
445,1566078318.807837,1566078318.822837,14.999390,-0.100013
446,1566078318.908330,1566078318.923206,14.875412,-0.100493
447,1566078319.007824,1566078319.022802,14.977932,-0.099494
448,1566078319.107841,1566078319.122751,14.910698,-0.100017
449,1566078319.207840,1566078319.222749,14.908552,-0.100000
450,1566078319.307838,1566078319.322714,14.875650,-0.099998
451,1566078319.407821,1566078319.422669,14.847279,-0.099983
452,1566078319.507845,1566078319.522782,14.936924,-0.100024
453,1566078319.607825,1566078319.622700,14.874697,-0.099980
454,1566078319.707828,1566078319.722735,14.906645,-0.100003
455,1566078319.807819,1566078319.822721,14.902353,-0.099990
456,1566078319.907831,1566078319.922719,14.887571,-0.100013
457,1566078320.007835,1566078320.022822,14.987230,-0.100004
458,1566078320.107834,1566078320.122769,14.934301,-0.099999
459,1566078320.207824,1566078320.222733,14.909029,-0.099989
460,1566078320.307842,1566078320.322740,14.897823,-0.100019
461,1566078320.407848,1566078320.422716,14.867783,-0.100006
462,1566078320.507828,1566078320.522750,14.922142,-0.099980
463,1566078320.607837,1566078320.622718,14.881134,-0.100009
464,1566078320.707828,1566078320.722766,14.938116,-0.099991
465,1566078320.807834,1566078320.822727,14.893770,-0.100006
466,1566078320.907849,1566078320.922896,15.046597,-0.100015
467,1566078321.007818,1566078321.022604,14.786720,-0.099969
468,1566078321.107873,1566078321.122808,14.935732,-0.100055
469,1566078321.207825,1566078321.222706,14.880896,-0.099952
470,1566078321.307847,1566078321.322802,14.955759,-0.100022
471,1566078321.407825,1566078321.422806,14.981747,-0.099978
472,1566078321.507823,1566078321.522630,14.807224,-0.099999
473,1566078321.607853,1566078321.622668,14.815331,-0.100030
474,1566078321.707871,1566078321.722682,14.810562,-0.100018
475,1566078321.807855,1566078321.822682,14.827490,-0.099984
476,1566078321.907859,1566078321.922682,14.823675,-0.100004
477,1566078322.007853,1566078322.022666,14.812231,-0.099995
