S2 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
5276,1566078801.922742,1566078801.940428,17.686367,-0.100015
5277,1566078802.022746,1566078802.040389,17.642975,-0.100004
5278,1566078802.122735,1566078802.140363,17.627478,-0.099989
5279,1566078802.222638,1566078802.240381,17.743111,-0.099903
5280,1566078802.322805,1566078802.340456,17.651320,-0.100167
5281,1566078802.422808,1566078802.440491,17.682552,-0.100004
5282,1566078802.522693,1566078802.540314,17.621279,-0.099885
5283,1566078802.622656,1566078802.640360,17.703295,-0.099963
5284,1566078802.722672,1566078802.740340,17.667770,-0.100016
5285,1566078802.822788,1566078802.840414,17.626286,-0.100116
5286,1566078802.922675,1566078802.940412,17.736673,-0.099887
5287,1566078803.022702,1566078803.040383,17.681122,-0.100026
5288,1566078803.122780,1566078803.140376,17.596006,-0.100078
5289,1566078803.222782,1566078803.240412,17.629385,-0.100003
5290,1566078803.322660,1566078803.340333,17.672777,-0.099878
5291,1566078803.422693,1566078803.440399,17.705679,-0.100033
5292,1566078803.522820,1566078803.540443,17.623425,-0.100127
5293,1566078803.622649,1566078803.640328,17.678499,-0.099829
5294,1566078803.722963,1566078803.740589,17.626047,-0.100313
5295,1566078803.822770,1566078803.840481,17.711163,-0.099807
5296,1566078803.922768,1566078803.940522,17.753363,-0.099998
5297,1566078804.022769,1566078804.040378,17.608643,-0.100001
5298,1566078804.122645,1566078804.140357,17.711401,-0.099876
5299,1566078804.222771,1566078804.240363,17.592192,-0.100125
5300,1566078804.322753,1566078804.340482,17.728806,-0.099983
5301,1566078804.422864,1566078804.440478,17.613411,-0.100111
5302,1566078804.522843,1566078804.540575,17.732143,-0.099978
5303,1566078804.622754,1566078804.640374,17.620564,-0.099911
5304,1566078804.722733,1566078804.740428,17.695665,-0.099979
5305,1566078804.822688,1566078804.840377,17.688990,-0.099955
5306,1566078804.922701,1566078804.940383,17.681599,-0.100013
5307,1566078805.022776,1566078805.040390,17.614126,-0.100075
5308,1566078805.122673,1566078805.140404,17.731190,-0.099897
5309,1566078805.222789,1566078805.240416,17.626524,-0.100116
5310,1566078805.322857,1566078805.340498,17.641306,-0.100068
5311,1566078805.422754,1566078805.440489,17.735004,-0.099897
5312,1566078805.522779,1566078805.540441,17.662287,-0.100025
5313,1566078805.622689,1566078805.640417,17.728567,-0.099910
5314,1566078805.722764,1566078805.740459,17.695189,-0.100076
5315,1566078805.822676,1566078805.840389,17.713070,-0.099912
5316,1566078805.922764,1566078805.940370,17.606258,-0.100088
5317,1566078806.022732,1566078806.040421,17.689228,-0.099968
5318,1566078806.122767,1566078806.140402,17.635584,-0.100035
5319,1566078806.222753,1566078806.240443,17.689466,-0.099987
5320,1566078806.322839,1566078806.340452,17.612696,-0.100086
5321,1566078806.422620,1566078806.440372,17.752171,-0.099780
5322,1566078806.522722,1566078806.540411,17.688990,-0.100102
5323,1566078806.622777,1566078806.640428,17.650366,-0.100055
5324,1566078806.722757,1566078806.740390,17.632723,-0.099979
5325,1566078806.822699,1566078806.840426,17.727375,-0.099942
5326,1566078806.922707,1566078806.940395,17.687798,-0.100008
5327,1566078807.022850,1566078807.040517,17.666578,-0.100143
5328,1566078807.122720,1566078807.140444,17.724752,-0.099869
5329,1566078807.222674,1566078807.240341,17.667055,-0.099955
5330,1566078807.322761,1566078807.340377,17.615795,-0.100086
5331,1566078807.422868,1566078807.440473,17.605305,-0.100107
5332,1566078807.522870,1566078807.540534,17.664194,-0.100003
5333,1566078807.622855,1566078807.640499,17.643690,-0.099985
5334,1566078807.722783,1566078807.740438,17.655849,-0.099927
5335,1566078807.822778,1566078807.840404,17.626047,-0.099995
5336,1566078807.922816,1566078807.940448,17.631769,-0.100038
5337,1566078808.022879,1566078808.040555,17.675638,-0.100063
5338,1566078808.122749,1566078808.140392,17.642736,-0.099870
5339,1566078808.222640,1566078808.240301,17.661095,-0.099891
5340,1566078808.322819,1566078808.340631,17.812014,-0.100178
5341,1566078808.422780,1566078808.440399,17.619133,-0.099962
5342,1566078808.522786,1566078808.540524,17.738104,-0.100006
5343,1566078808.622858,1566078808.640496,17.638206,-0.100072
5344,1566078808.722650,1566078808.740331,17.681360,-0.099792
5345,1566078808.822774,1566078808.840391,17.616987,-0.100124
5346,1566078808.922826,1566078808.940449,17.622709,-0.100052
5347,1566078809.022887,1566078809.040570,17.682076,-0.100061
5348,1566078809.122722,1566078809.140396,17.673969,-0.099835
5349,1566078809.222753,1566078809.240372,17.618895,-0.100031
5350,1566078809.322767,1566078809.340421,17.653704,-0.100014
5351,1566078809.422753,1566078809.440371,17.617702,-0.099986
5352,1566078809.522776,1566078809.540495,17.719030,-0.100024
5353,1566078809.622780,1566078809.640414,17.633915,-0.100004
5354,1566078809.722762,1566078809.740453,17.691851,-0.099981
5355,1566078809.822635,1566078809.840363,17.728567,-0.099873
5356,1566078809.922678,1566078809.940364,17.685175,-0.100044
5357,1566078810.022782,1566078810.040424,17.641544,-0.100104
5358,1566078810.122741,1566078810.140385,17.644167,-0.099959
5359,1566078810.222724,1566078810.240401,17.676592,-0.099983
5360,1566078810.322784,1566078810.340431,17.646790,-0.100060
5361,1566078810.422782,1566078810.440442,17.660379,-0.099998
5362,1566078810.522789,1566078810.540549,17.759085,-0.100008
5363,1566078810.622747,1566078810.640352,17.605543,-0.099957
5364,1566078810.722721,1566078810.740426,17.705202,-0.099974
5365,1566078810.822756,1566078810.840427,17.670870,-0.100035
5366,1566078810.922831,1566078810.940509,17.678261,-0.100075
5367,1566078811.022924,1566078811.040531,17.606735,-0.100093
5368,1566078811.122660,1566078811.140347,17.686844,-0.099736
5369,1566078811.222716,1566078811.240427,17.710924,-0.100057
5370,1566078811.322693,1566078811.340481,17.788649,-0.099976
5371,1566078811.422755,1566078811.440493,17.737865,-0.100062
5372,1566078811.522666,1566078811.540347,17.680407,-0.099912
5373,1566078811.622809,1566078811.640454,17.644882,-0.100142
